,Titles,Year,Model,Make,Colour,Style,Condition,Price,Mileages,Dealer,City,Province,Posting Link,Image Link
0,"Used 2011 Chevrolet Malibu 2LT PLATINUM, SUNROOF, LEATHER, BLUETOOTH! for sale in Orleans, ON",2011,2011 Chevrolet Malibu,Chevrolet,Black,Sedan,Used,9991.0,141916.0,Luxe Auto Lounge Inc,Orleans,ON,https://www.carpages.ca/used-cars/ontario/orleans/2011-chevrolet-malibu-10837416/,https://images.carpages.ca/inventory/10837416.389863197?w=320&h=240&q=75&s=a54d7f99248395f5a11f08dd59683f90
1,"Used 2016 Toyota Prius HYBRID / HATCHBACK / REVERSE CAM / NO ACCIDENTS for sale in Cambridge, ON",2016,2016 Toyota Prius,Toyota,Red,Sedan,Used,20995.0,33415.0,Car Match Canada,Cambridge,ON,https://www.carpages.ca/used-cars/ontario/cambridge/2016-toyota-prius-10837410/,https://images.carpages.ca/inventory/10837410.389862828?w=320&h=240&q=75&s=b8dc5d3879900ee6f069ce64a6088dd7
2,"Used 2011 Chevrolet Cruze LS-LOADED-SUPER LOW PRICE CERTIFIED! for sale in Oshawa, ON",2011,2011 Chevrolet Cruze,Chevrolet,SILVER SURFER METALLIC,Sedan,Used,5289.0,221279.0,R.E.R. Automobiles Ltd,Oshawa,ON,https://www.carpages.ca/used-cars/ontario/oshawa/2011-chevrolet-cruze-10837407/,https://images.carpages.ca/inventory/10837407.389862693?w=320&h=240&q=75&s=275264eb831dffb70608eb0b9f552e4c
3,"Used 2015 Honda Civic LX / MANUAL / AC / HEATED SEATS for sale in Cambridge, ON",2015,2015 Honda Civic,Honda,Grey,Sedan,Used,11995.0,177135.0,Car Match Canada,Cambridge,ON,https://www.carpages.ca/used-cars/ontario/cambridge/2015-honda-civic-10837404/,https://images.carpages.ca/inventory/10837404.389862684?w=320&h=240&q=75&s=daf02c7782341caf52ccfdba14a9d252
4,"Used 2006 Toyota Avalon  for sale in Toronto, ON",2006,2006 Toyota Avalon,Toyota,Silver,Sedan,Used,6495.0,234000.0,Lawrence Auto Sales,Toronto,ON,https://www.carpages.ca/used-cars/ontario/toronto/2006-toyota-avalon-10837389/,https://images.carpages.ca/inventory/10837389.389862243?w=320&h=240&q=75&s=06b4a6fb3b885904aeffe08cd81c70d4
5,"Used 2010 Honda Civic Sedan DX-G for sale in Sudbury, ON",2010,2010 Honda Civic,Honda,Titanium,Sedan,Used,7664.0,135149.0,Palladino Honda,Sudbury,ON,https://www.carpages.ca/used-cars/ontario/sudbury/2010-honda-civic-10837368/,https://images.carpages.ca/inventory/10837368.389861139?w=320&h=240&q=75&s=cd7cbcba94a909b2896df97682445f9c
6,"Used 2014 Chrysler 300 S  - Leather Seats -  Bluetooth for sale in Sudbury, ON",2014,2014 Chrysler 300,Chrysler,White,Sedan,Used,16731.0,120683.0,Palladino Honda,Sudbury,ON,https://www.carpages.ca/used-cars/ontario/sudbury/2014-chrysler-300-10837365/,https://images.carpages.ca/inventory/10837365.389861136?w=320&h=240&q=75&s=5813d030041d99fd051ff21107af2436
7,"Used 2017 Hyundai Elantra GL for sale in Sudbury, ON",2017,2017 Hyundai Elantra,Hyundai,,Sedan,Used,14516.0,141145.0,Palladino Honda,Sudbury,ON,https://www.carpages.ca/used-cars/ontario/sudbury/2017-hyundai-elantra-10837359/,https://images.carpages.ca/inventory/10837359.389861130?w=320&h=240&q=75&s=df2d9f4a168d7ca907ac15e966d07fce
8,"Used 2017 Nissan Sentra  for sale in Sudbury, ON",2017,2017 Nissan Sentra,Nissan,Black,Sedan,Used,14361.0,122523.0,Palladino Mazda,Sudbury,ON,https://www.carpages.ca/used-cars/ontario/sudbury/2017-nissan-sentra-10837353/,https://images.carpages.ca/inventory/10837353.389861040?w=320&h=240&q=75&s=dc82174f54037f399776480d7ac83227
9,"Used 2018 Acura TLX TECH / SH-AWD / LEATHER / NAV / NO ACCIDENTS for sale in Cambridge, ON",2018,2018 Acura TLX,Acura,Black,Sedan,Used,23995.0,93636.0,Car Match Canada,Cambridge,ON,https://www.carpages.ca/used-cars/ontario/cambridge/2018-acura-tlx-10837329/,https://images.carpages.ca/inventory/10837329.389860878?w=320&h=240&q=75&s=f602dbe1a03b28cd4ecff46c0aba490a
10,"Used 2021 Hyundai Sonata Preferred+Adaptive Cruise+Blind Spot+CLEAN CARFAX for sale in London, ON",2021,2021 Hyundai Sonata,Hyundai,White,Sedan,Used,24999.0,87000.0,Sport Motors,London,ON,https://www.carpages.ca/used-cars/ontario/london/2021-hyundai-sonata-10837317/,https://images.carpages.ca/inventory/10837317.389860734?w=320&h=240&q=75&s=5aa16edf6c34cf7c7360d1ef201d2a5c
11,"Used 2022 Toyota Corolla LE for sale in Langley, BC",2022,2022 Toyota Corolla,Toyota,Blue,Sedan,Used,23770.0,55300.0,Canadian Car and Truck Sales,Langley,BC,https://www.carpages.ca/used-cars/british-columbia/langley/2022-toyota-corolla-10837302/,https://images.carpages.ca/inventory/10837302.389859651?w=320&h=240&q=75&s=8f55e8a31071d67069a8c758f4f76f0f
12,"Used 2014 Toyota Camry LE | SUNROOF | BACKUP CAM | $0 DOWN for sale in Calgary, AB",2014,2014 Toyota Camry,Toyota,Black,Sedan,Used,13988.0,201778.0,GT Motor Sports Calgary,Calgary,AB,https://www.carpages.ca/used-cars/alberta/calgary/2014-toyota-camry-10837269/,https://images.carpages.ca/inventory/10837269.389859957?w=320&h=240&q=75&s=5336f3c65b6a8784384e0f20d193fe51
