,Titles,Year,Model,Make,Colour,Style,Condition,Price,Mileages,Dealer,City,Province,Posting Link,Image Link
0,"Used 2022 Hyundai Elantra Preferred | One-Owner for sale in Etobicoke, ON",2022,2022 Hyundai Elantra,Hyundai,White,Sedan,Used,24800,29920.0,World Fine Cars,Etobicoke,ON,https://www.carpages.ca/used-cars/ontario/etobicoke/2022-hyundai-elantra-10797441/,https://images.carpages.ca/inventory/10797441.388062051?w=320&h=240&q=75&s=6adb1b224808bd323d87c30fa8b95980
1,"Used 2021 Hyundai Elantra PREFERRED | Sunroof | BSM | Heated Seats | CarPlay for sale in Toronto, ON",2021,2021 Hyundai Elantra,Hyundai,White,Sedan,Used,24850,83000.0,AUTORAMA,Toronto,ON,https://www.carpages.ca/used-cars/ontario/toronto/2021-hyundai-elantra-10797438/,https://images.carpages.ca/inventory/10797438.388062171?w=320&h=240&q=75&s=71cc976b83005f7e7a2aaf58c6dbd3d7
2,"Used 2019 Chevrolet Bolt EV Premier Accident Free | Low KM for sale in Surrey, BC",2019,2019 Chevrolet Bolt,Chevrolet,Black,Sedan,Used,30980,72281.0,Langley Chrysler,Surrey,BC,https://www.carpages.ca/used-cars/british-columbia/surrey/2019-chevrolet-bolt-10797417/,https://images.carpages.ca/inventory/10797417.388061739?w=320&h=240&q=75&s=6562e0640d63460da7e4369ffe0139a9
3,"Used 2020 Volkswagen Jetta Comfortline Low KM | Bluetooth for sale in Surrey, BC",2020,2020 Volkswagen Jetta,Volkswagen,Silver,Sedan,Used,23885,63301.0,Langley Chrysler,Surrey,BC,https://www.carpages.ca/used-cars/british-columbia/surrey/2020-volkswagen-jetta-10797414/,https://images.carpages.ca/inventory/10797414.388061736?w=320&h=240&q=75&s=627b6ca3aad585576e6671268f3ed463
4,"Used 2018 Chevrolet Cruze LT AUTO for sale in Saskatoon, SK",2018,2018 Chevrolet Cruze,Chevrolet,Silver,Sedan,Used,1,83001.0,Village Auto Sales,Saskatoon,SK,https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2018-chevrolet-cruze-10797375/,https://images.carpages.ca/inventory/10797375.388061586?w=320&h=240&q=75&s=661caf6208b64e099160a7463a295009
5,"Used 2019 Chevrolet Impala 2LZ for sale in Saskatoon, SK",2019,2019 Chevrolet Impala,Chevrolet,Red,Sedan,Used,24995,138253.0,Village Auto Sales,Saskatoon,SK,https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2019-chevrolet-impala-10797273/,https://images.carpages.ca/inventory/10797273.388061541?w=320&h=240&q=75&s=72bb8309bfb21733abcde6b3ddbe0cf0
6,"Used 2015 Chrysler 200 C for sale in Saskatoon, SK",2015,2015 Chrysler 200,Chrysler,Silver,Sedan,Used,1,,Village Auto Sales,Saskatoon,SK,https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2015-chrysler-200-10797168/,https://images.carpages.ca/inventory/10797168.388061469?w=320&h=240&q=75&s=13e5f6c44d94c3ee6af76e862d73b16b
7,"Used 2021 Nissan Sentra SV for sale in Saskatoon, SK",2021,2021 Nissan Sentra,Nissan,Black,Sedan,Used,27995,95451.0,Village Auto Sales,Saskatoon,SK,https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2021-nissan-sentra-10797153/,https://images.carpages.ca/inventory/10797153.388061460?w=320&h=240&q=75&s=e6911bb07098ed7bc51d0cd7a2c67927
8,"Used 2021 Toyota Corolla LE for sale in Saskatoon, SK",2021,2021 Toyota Corolla,Toyota,Blue,Sedan,Used,30995,84628.0,Village Auto Sales,Saskatoon,SK,https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2021-toyota-corolla-10797108/,https://images.carpages.ca/inventory/10797108.388061430?w=320&h=240&q=75&s=78c4ffed43a47d5a9ce8ac2915a790d2
9,"Used 2021 Toyota Corolla LE for sale in Saskatoon, SK",2021,2021 Toyota Corolla,Toyota,White,Sedan,Used,29500,68247.0,Village Auto Sales,Saskatoon,SK,https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2021-toyota-corolla-10797105/,https://images.carpages.ca/inventory/10797105.388061427?w=320&h=240&q=75&s=e66e865432d1368b74c7484a5f8608f5
10,"Used 2021 Chevrolet Malibu LT for sale in Saskatoon, SK",2021,2021 Chevrolet Malibu,Chevrolet,White,Sedan,Used,1,70791.0,Village Auto Sales,Saskatoon,SK,https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2021-chevrolet-malibu-10797072/,https://images.carpages.ca/inventory/10797072.388061409?w=320&h=240&q=75&s=857b25a87b00a612bb07b2d040a2eb77
11,"Used 2021 Kia Forte LX - Low Mileage for sale in Saskatoon, SK",2021,2021 Kia Forte,Kia,White,Sedan,Used,28995,29433.0,Village Auto Sales,Saskatoon,SK,https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2021-kia-forte-10797066/,https://images.carpages.ca/inventory/10797066.388061406?w=320&h=240&q=75&s=1277134ea51ed13f104e87902f9ba70c
12,"Used 2018 Mazda MAZDA3 GX - Low Mileage for sale in Saskatoon, SK",2018,2018 Mazda MAZDA3,Mazda,Silver,Sedan,Used,21995,52998.0,Village Auto Sales,Saskatoon,SK,https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2018-mazda-mazda3-10797057/,https://images.carpages.ca/inventory/10797057.388061400?w=320&h=240&q=75&s=6b291aed2541efedb061ed95c70bd760
13,"Used 2017 Buick Verano  for sale in Saskatoon, SK",2017,2017 Buick Verano,Buick,White,Sedan,Used,15995,156120.0,Village Auto Sales,Saskatoon,SK,https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2017-buick-verano-10797036/,https://images.carpages.ca/inventory/10797036.388061391?w=320&h=240&q=75&s=9a46cc328ad4fe3fc28f71431775abdf
14,"Used 2018 Hyundai Elantra GL for sale in Saskatoon, SK",2018,2018 Hyundai Elantra,Hyundai,White,Sedan,Used,21995,108813.0,Village Auto Sales,Saskatoon,SK,https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2018-hyundai-elantra-10796955/,https://images.carpages.ca/inventory/10796955.388061331?w=320&h=240&q=75&s=e7a18fca173d812e6a6c8900d356278b
15,"Used 2018 Kia Forte LX for sale in Saskatoon, SK",2018,2018 Kia Forte,Kia,Black,Sedan,Used,19995,61434.0,Village Auto Sales,Saskatoon,SK,https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2018-kia-forte-10796946/,https://images.carpages.ca/inventory/10796946.388061325?w=320&h=240&q=75&s=9e824e135ff1121f676ef53b8759a0c7
16,"New 2024 Volkswagen Jetta comfortline for sale in Surrey, BC",2024,2024 Volkswagen Jetta,Volkswagen,Black,Sedan,New,34145,20.0,White Rock Volkswagen,Surrey,BC,https://www.carpages.ca/new-cars/british-columbia/surrey/2024-volkswagen-jetta-10796883/,https://images.carpages.ca/inventory/10796883.388061124?w=320&h=240&q=75&s=0a27f7fed75107db30895e899d369f85
